
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,7,6,10
2,7,6,9
3,8,6,7
4,8,6,11
5,7,6,7
6,8,6,8
7,7,6,8
8,6,6,8
9,8,6,10
10,6,6,7
AVG : ,7,6,8
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,6,6,6
2,6,6,6
3,8,6,9
4,7,6,8
5,6,6,7
6,8,6,9
7,7,6,6
8,6,6,9
9,7,6,7
10,7,6,6
AVG : ,6,6,7
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,6,6,7
2,7,6,8
3,6,6,6
4,7,6,6
5,6,6,7
6,7,6,7
7,8,6,7
8,9,6,10
9,7,6,8
10,7,6,7
AVG : ,7,6,7
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,8,6,10
2,6,6,7
3,6,6,7
4,7,6,7
5,7,6,7
6,7,6,7
7,6,6,8
8,7,6,6
9,7,6,8
10,8,6,8
AVG : ,6,6,7
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,6,6,6
2,8,6,9
3,7,6,7
4,6,6,7
5,7,6,6
6,7,6,8
7,8,6,8
8,7,6,10
9,6,6,6
10,7,6,7
AVG : ,6,6,7
