# process,12,,,,,,,,,,,
# page,6,,,,,,,,,,,
Page fault occurrence,,,,,,,,,,,,
Round,FIFO,OPT,LRU,,,,,,,,,
1,11,12,12,,,,,,,,,
2,12,12,12,,,,,,,,,
3,12,12,12,,,,,,,,,
4,11,12,12,,,,,,,,,
5,12,12,12,,,,,,,,,
6,11,11,11,,,,,,,,,
7,11,12,12,,,,,,,,,
8,12,12,12,,,,,,,,,
9,10,9,10,,,,,,# process,12,,
10,11,11,11,,,,,,# page,2,,
AVG : ,11,11,11,,,,,,Round ,FIFO,OPT,LRU
# process,12,,,,,,,,1,,,
# page,2,,,,,,,,# process,12,,
Page fault occurrence,,,,,,,,,# page,3,,
Round,FIFO,OPT,LRU,,,,,,Round ,FIFO,OPT,LRU
1,12,12,12,,,,,,1,,,
2,12,12,12,,,,,,# process,12,,
3,12,12,12,,,,,,# page,4,,
4,12,12,12,,,,,,Round ,FIFO,OPT,LRU
5,12,12,12,,,,,,1,,,
6,12,12,12,,,,,,# process,12,,
7,12,12,12,,,,,,# page,5,,
8,12,11,12,,,,,,Round ,FIFO,OPT,LRU
9,12,12,12,,,,,,1,,,
10,11,11,11,,,,,,,,,
AVG : ,11,11,11,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,# process,12,,,,,,,,,
,,# page,2,,,,,,,,,
,,Round ,FIFO,OPT,LRU,,,,,,,
,,1,,,,,,,,,,
