# process,12
# page,2
Page fault occurrence
Round,FIFO,OPT,LRU
1,9,8,9
2,11,9,11
3,10,8,10
4,9,7,8
5,10,8,10
6,10,8,9
7,6,6,6
8,9,7,8
9,9,7,8
10,9,7,8
AVG : ,9,7,8
# process,12
# page,3
Page fault occurrence
Round,FIFO,OPT,LRU
1,8,8,11
2,7,7,9
3,7,6,6
4,9,6,8
5,9,7,9
6,8,7,9
7,6,7,10
8,7,5,7
9,7,6,8
10,9,6,9
AVG : ,7,6,8
# process,12
# page,4
Page fault occurrence
Round,FIFO,OPT,LRU
1,8,5,6
2,5,6,7
3,4,6,6
4,5,5,8
5,6,8,9
6,6,6,7
7,5,6,8
8,7,5,6
9,5,5,7
10,5,6,7
AVG : ,5,5,7
# process,12
# page,5
Page fault occurrence
Round,FIFO,OPT,LRU
1,5,7,7
2,5,6,6
3,4,5,5
4,5,5,5
5,5,6,6
6,4,7,7
7,5,6,6
8,4,5,5
9,5,6,6
10,5,7,7
AVG : ,4,6,6
